1,Cozy Apartment,Apartment,California,Los Angeles,Sunset Blvd,101,2,55.5,250000,1
2,Spacious House,House,California,Los Angeles,Elm St,202,4,150,850000,1
3,Luxury Condo,Condo,California,San Francisco,Market St,303,3,80,600000,1
4,Compact Studio,Apartment,California,Los Angeles,Sunset Blvd,104,1,35,150000,1
5,Modern Villa,Villa,Texas,Austin,Lake View Rd,505,5,200,1.2e+06,1
6,Traditional House,House,Texas,Houston,Main St,606,4,180,700000,0
7,Cozy Cabin,Cabin,Colorado,Denver,Mountain Rd,707,2,100,400000,0
8,City Apartment,Apartment,New York,New York,5th Ave,808,2,65,300000,0
9,Penthouse Suite,Condo,New York,New York,Park Ave,909,3,120,2e+06,0
10,Family House,House,California,San Francisco,Mission St,1010,4,160,900000,0
